ticket,opening_time_utc,closing_time_utc,type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,swap_usd,profit_usd,equity_usd,margin_level,close_reason
1574154434,2025-06-19T20:41:59.799000,2025-06-19T20:48:07.992000,sell,0.01,0.01,BTCUSD,104201.58,104176.13,104176.13,,-0.16,0,0.26,,,sl
1572249813,2025-06-18T18:11:00.063000,2025-06-18T18:11:55.251000,sell,0.01,0.01,BTCUSD,104064.94,104181.64,104181.64,,-0.16,0,-1.17,,,sl
1572232267,2025-06-18T18:05:00.031000,2025-06-18T18:06:14.868000,sell,0.01,0.01,BTCUSD,104038.02,104117.81,104117.81,,-0.16,0,-0.8,,,sl
1571899965,2025-06-18T14:23:02.379000,2025-06-18T14:23:44.656000,buy,0.01,0.01,BTCUSD,105215.31,105133.93,105133.93,,-0.16,0,-0.81,,,sl
1571832897,2025-06-18T14:05:00.318000,2025-06-18T14:05:18.474000,buy,0.01,0.01,BTCUSD,104772.92,104696,104696,,-0.16,0,-0.77,,,sl
1571793294,2025-06-18T13:52:09.683000,2025-06-18T13:52:18.825000,sell,0.01,0.01,BTCUSD,104035.37,104098.04,104098.04,,-0.16,0,-0.63,,,sl
1571780837,2025-06-18T13:48:00.389000,2025-06-18T13:51:03.499000,sell,0.01,0.01,BTCUSD,104039.56,104066.5,104066.5,,-0.16,0,-0.27,,,sl
1571766439,2025-06-18T13:42:00.455000,2025-06-18T13:43:32.930000,sell,0.01,0.01,BTCUSD,104083.6,104067.44,104067.44,,-0.16,0,0.17,,,sl
1570435891,2025-06-17T19:46:00.443000,2025-06-17T19:55:12.507000,buy,0.1,0.1,ETHUSD,2532.3,2537.94,2537.94,,-0.13,0,0.56,,,sl
1569833620,2025-06-17T13:50:00.140000,2025-06-17T13:54:53.631000,sell,0.1,0.1,ETHUSD,2553.04,2556.42,2556.42,,-0.13,0,-0.34,,,sl
1569540005,2025-06-17T11:34:59.189000,2025-06-17T11:39:29.445000,sell,0.1,0.1,ETHUSD,2547.61,2548.42,2548.42,,-0.13,0,-0.08,,,sl
1568372094,2025-06-16T22:15:00.414000,2025-06-16T22:16:45.509000,buy,0.01,0.01,BTCUSD,108863.58,108783.84,108783.84,,-0.16,0,-0.8,,,sl
1568368675,2025-06-16T22:05:10.460000,2025-06-16T22:05:59.210000,buy,0.01,0.01,BTCUSD,108809.4,108763.03,108763.03,,-0.16,0,-0.46,,,sl
1568361792,2025-06-16T21:00:06.358000,2025-06-16T21:04:05.255000,buy,0.01,0.01,BTCUSD,108869.56,108846.16,108846.16,,-0.16,0,-0.24,,,sl
1568360978,2025-06-16T20:57:01.254000,2025-06-16T20:58:53.767000,buy,0.01,0.01,BTCUSD,108864.16,108842.95,108842.95,,-0.16,0,-0.21,,,sl
1568358422,2025-06-16T20:45:04.530000,2025-06-16T20:46:21.589000,buy,0.01,0.01,BTCUSD,108814.18,108788.7,108788.7,,-0.16,0,-0.25,,,sl
1568354811,2025-06-16T20:28:59.711000,2025-06-16T20:41:20.946000,buy,0.1,0.1,ETHUSD,2659.77,2666.77,2666.77,,-0.13,0,0.7,,,sl
1568348004,2025-06-16T20:05:02.585000,2025-06-16T20:06:03.616000,buy,0.1,0.1,ETHUSD,2660.11,2658.15,2656.66,,-0.13,0,-0.19,,,user
1568346001,2025-06-16T20:00:02.668000,2025-06-16T20:03:26.567000,buy,0.1,0.1,ETHUSD,2662.76,2657.77,2657.77,,-0.13,0,-0.5,,,sl
1568345936,2025-06-16T20:00:00.410000,2025-06-16T20:01:06.395000,buy,0.01,0.01,BTCUSD,108730.59,108678.08,108598.98,,-0.16,0,-0.53,,,user
1568340391,2025-06-16T19:53:08.060000,2025-06-16T19:56:13.768000,buy,0.1,0.1,ETHUSD,2659.56,2658.05,2656.76,,-0.13,0,-0.15,,,user
1568335597,2025-06-16T19:42:03.699000,2025-06-16T19:50:03.521000,buy,0.1,0.1,ETHUSD,2658.1,2656.81,2656.81,,-0.13,0,-0.13,,,sl
1568335581,2025-06-16T19:42:02.457000,2025-06-16T19:46:15.630000,buy,0.01,0.01,BTCUSD,108668.45,108516.96,108516.96,,-0.16,0,-1.51,,,sl
1568294733,2025-06-16T18:55:01.554000,2025-06-16T18:57:29.473000,buy,0.01,0.01,BTCUSD,108202.47,108252.06,108252.06,,-0.16,0,0.5,,,sl
1568283778,2025-06-16T18:39:07.304000,2025-06-16T18:45:17.842000,buy,0.01,0.01,BTCUSD,108174.21,108165.84,108165.84,,-0.16,0,-0.08,,,sl
1568284168,2025-06-16T18:40:02.893000,2025-06-16T18:43:48.928000,buy,0.1,0.1,ETHUSD,2644.04,2643.15,2643.15,,-0.13,0,-0.08,,,sl
1568271365,2025-06-16T18:23:10.031000,2025-06-16T18:30:54.737000,buy,0.01,0.01,BTCUSD,108045.27,108124.28,108124.28,,-0.16,0,0.79,,,sl
1568271745,2025-06-16T18:23:27.338000,2025-06-16T18:30:18.113000,buy,0.1,0.1,ETHUSD,2642.28,2644.86,2644.86,,-0.13,0,0.26,,,sl
1568262657,2025-06-16T18:15:00.941000,2025-06-16T18:17:34.458000,buy,0.01,0.01,BTCUSD,108038.46,108024.82,108024.82,,-0.16,0,-0.13,,,sl
1568258821,2025-06-16T18:10:00.583000,2025-06-16T18:11:57.075000,buy,0.01,0.01,BTCUSD,108014.15,107992.33,107992.33,,-0.16,0,-0.22,,,sl
1567351742,2025-06-16T10:16:02.323000,2025-06-16T10:18:42.172000,buy,0.01,0.01,BTCUSD,107230.84,107212.49,107212.49,,-0.16,0,-0.19,,,sl
